,date,state,death,case,hosp
0,2022/02/21,US,934654,78433652,4399.0
1,2022/02/22,US,937380,78556769,5336.0
2,2022/02/23,US,940404,78641313,5182.0
3,2022/02/24,US,943312,78714719,4902.0
4,2022/02/25,US,946121,78800705,4673.0
5,2022/02/26,US,946686,78825927,4309.0
6,2022/02/27,US,946883,78835013,3486.0
7,2022/02/28,US,948855,78942813,3260.0
8,2022/03/01,US,950788,78986396,3934.0
9,2022/03/02,US,953136,79044542,3924.0
10,2022/03/03,US,955018,79096279,3582.0
11,2022/03/04,US,956910,79145866,3385.0
12,2022/03/05,US,957217,79162481,3121.0
13,2022/03/06,US,957429,79169256,2552.0
14,2022/03/07,US,959115,79232308,2396.0
15,2022/03/08,US,960690,79266324,2779.0
16,2022/03/09,US,962503,79314028,2754.0
17,2022/03/10,US,964062,79352221,2606.0
18,2022/03/11,US,965746,79396596,2525.0
19,2022/03/12,US,966218,79407518,2368.0
20,2022/03/13,US,966361,79413908,1847.0
21,2022/03/14,US,963926,79462956,1584.0
22,2022/03/15,US,965449,79511352,2144.0
23,2022/03/16,US,967482,79550748,2039.0
24,2022/03/17,US,968690,79586734,1924.0
25,2022/03/18,US,969733,79623203,1867.0
26,2022/03/19,US,970065,79635322,1715.0
27,2022/03/20,US,970148,79643175,1421.0
28,2022/03/21,US,971074,79689310,1357.0
29,2022/03/22,US,972104,79714979,1706.0
30,2022/03/23,US,973459,79762066,1683.0
31,2022/03/24,US,974441,79799812,1521.0
32,2022/03/25,US,975273,79833549,1508.0
33,2022/03/26,US,975436,79845604,1549.0
34,2022/03/27,US,975486,79853102,1227.0
35,2022/03/28,US,976396,79895338,1169.0
36,2022/03/29,US,977153,79920966,1433.0
37,2022/03/30,US,978361,79966408,1431.0
38,2022/03/31,US,979236,80004185,1402.0
39,2022/04/01,US,979881,80036620,1390.0
40,2022/04/02,US,980018,80048015,1349.0
41,2022/04/03,US,980057,80052942,1081.0
42,2022/04/04,US,980682,80093982,1138.0
43,2022/04/05,US,981146,80124875,1380.0
44,2022/04/06,US,982263,80174198,1381.0
45,2022/04/07,US,982971,80209904,1417.0
46,2022/04/08,US,983514,80254009,1452.0
47,2022/04/09,US,983786,80267530,1313.0
48,2022/04/10,US,983813,80275715,1181.0
49,2022/04/11,US,984247,80325700,1187.0
50,2022/04/12,US,984838,80354734,1481.0
51,2022/04/13,US,985832,80408643,1447.0
52,2022/04/14,US,986448,80466106,1466.0
53,2022/04/15,US,987171,80513724,1577.0
54,2022/04/16,US,987211,80524627,1438.0
55,2022/04/17,US,987228,80535906,1231.0
56,2022/04/18,US,987545,80595982,1348.0
57,2022/04/19,US,987999,80646004,1636.0
58,2022/04/20,US,988610,80708901,1745.0
59,2022/04/21,US,989094,80768167,1755.0
60,2022/04/22,US,989584,80836264,1840.0
61,2022/04/23,US,989681,80855181,1796.0
62,2022/04/24,US,989709,80867572,1543.0
63,2022/04/25,US,990062,80942184,1612.0
64,2022/04/26,US,990368,80996837,2008.0
65,2022/04/27,US,991039,81081307,2152.0
66,2022/04/28,US,991502,81154876,2063.0
67,2022/04/29,US,991921,81236707,2078.0
68,2022/04/30,US,992010,81259033,2089.0
69,2022/05/01,US,992033,81274401,1896.0
70,2022/05/02,US,992424,81370245,2002.0
71,2022/05/03,US,993088,81439579,2465.0
72,2022/05/04,US,995021,81544794,2471.0
73,2022/05/05,US,995715,81639741,2510.0
74,2022/05/06,US,996168,81734797,2572.0
75,2022/05/07,US,996264,81765155,2545.0
76,2022/05/08,US,996283,81776948,2193.0
77,2022/05/09,US,996612,81889601,2208.0
78,2022/05/10,US,996916,81983224,2748.0
79,2022/05/11,US,997481,82144759,2897.0
