,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source,State
0,ak,confirmed_cumulative_num,2022-06-04,2022-06-05,1,257944,,,state,jhu-csse,AK
1,al,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1317029,,,state,jhu-csse,AL
2,ar,confirmed_cumulative_num,2022-06-04,2022-06-05,1,845647,,,state,jhu-csse,AR
3,as,confirmed_cumulative_num,2022-06-04,2022-06-05,1,6192,,,state,jhu-csse,AS
4,az,confirmed_cumulative_num,2022-06-04,2022-06-05,1,2062669,,,state,jhu-csse,AZ
5,ca,confirmed_cumulative_num,2022-06-04,2022-06-14,10,9667069,,,state,jhu-csse,CA
6,co,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1454881,,,state,jhu-csse,CO
7,ct,confirmed_cumulative_num,2022-06-04,2022-06-05,1,811932,,,state,jhu-csse,CT
8,dc,confirmed_cumulative_num,2022-06-04,2022-06-05,1,151005,,,state,jhu-csse,DC
9,de,confirmed_cumulative_num,2022-06-04,2022-06-05,1,277666,,,state,jhu-csse,DE
10,fl,confirmed_cumulative_num,2022-06-04,2022-06-05,1,6240440,,,state,jhu-csse,FL
11,ga,confirmed_cumulative_num,2022-06-04,2022-06-05,1,2571104,,,state,jhu-csse,GA
12,gu,confirmed_cumulative_num,2022-06-04,2022-06-05,1,49324,,,state,jhu-csse,GU
13,hi,confirmed_cumulative_num,2022-06-04,2022-06-05,1,282619,,,state,jhu-csse,HI
14,ia,confirmed_cumulative_num,2022-06-04,2022-06-05,1,780019,,,state,jhu-csse,IA
15,id,confirmed_cumulative_num,2022-06-04,2022-06-05,1,452918,,,state,jhu-csse,ID
16,il,confirmed_cumulative_num,2022-06-04,2022-06-05,1,3318982,,,state,jhu-csse,IL
17,in,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1738843,,,state,jhu-csse,IN
18,ks,confirmed_cumulative_num,2022-06-04,2022-06-05,1,789859,,,state,jhu-csse,KS
19,ky,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1361744,,,state,jhu-csse,KY
20,la,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1196190,,,state,jhu-csse,LA
21,ma,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1879517,,,state,jhu-csse,MA
22,md,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1095903,,,state,jhu-csse,MD
23,me,confirmed_cumulative_num,2022-06-04,2022-06-05,1,264366,,,state,jhu-csse,ME
24,mi,confirmed_cumulative_num,2022-06-04,2022-06-05,1,2508415,,,state,jhu-csse,MI
25,mn,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1515724,,,state,jhu-csse,MN
26,mo,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1469893,,,state,jhu-csse,MO
27,mp,confirmed_cumulative_num,2022-06-04,2022-06-05,1,11366,,,state,jhu-csse,MP
28,ms,confirmed_cumulative_num,2022-06-04,2022-06-05,1,810484,,,state,jhu-csse,MS
29,mt,confirmed_cumulative_num,2022-06-04,2022-06-05,1,277497,,,state,jhu-csse,MT
30,nc,confirmed_cumulative_num,2022-06-04,2022-06-05,1,2772730,,,state,jhu-csse,NC
31,nd,confirmed_cumulative_num,2022-06-04,2022-06-14,10,245702,,,state,jhu-csse,ND
32,ne,confirmed_cumulative_num,2022-06-04,2022-06-05,1,488110,,,state,jhu-csse,NE
33,nh,confirmed_cumulative_num,2022-06-04,2022-06-05,1,326610,,,state,jhu-csse,NH
34,nj,confirmed_cumulative_num,2022-06-04,2022-06-05,1,2412005,,,state,jhu-csse,NJ
35,nm,confirmed_cumulative_num,2022-06-04,2022-06-05,1,538629,,,state,jhu-csse,NM
36,nv,confirmed_cumulative_num,2022-06-04,2022-06-05,1,735631,,,state,jhu-csse,NV
37,ny,confirmed_cumulative_num,2022-06-04,2022-06-05,1,5466873,,,state,jhu-csse,NY
38,oh,confirmed_cumulative_num,2022-06-04,2022-06-05,1,2780653,,,state,jhu-csse,OH
39,ok,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1053558,,,state,jhu-csse,OK
40,or,confirmed_cumulative_num,2022-06-04,2022-06-05,1,770193,,,state,jhu-csse,OR
41,pa,confirmed_cumulative_num,2022-06-04,2022-06-05,1,2932186,,,state,jhu-csse,PA
42,pr,confirmed_cumulative_num,2022-06-04,2022-06-05,1,688359,,,state,jhu-csse,PR
43,ri,confirmed_cumulative_num,2022-06-04,2022-06-05,1,394573,,,state,jhu-csse,RI
44,sc,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1504967,,,state,jhu-csse,SC
45,sd,confirmed_cumulative_num,2022-06-04,2022-06-05,1,236373,,,state,jhu-csse,SD
46,tn,confirmed_cumulative_num,2022-06-04,2022-06-16,12,2073098,,,state,jhu-csse,TN
47,tx,confirmed_cumulative_num,2022-06-04,2022-06-05,1,6974280,,,state,jhu-csse,TX
48,ut,confirmed_cumulative_num,2022-06-04,2022-06-05,1,954707,,,state,jhu-csse,UT
49,va,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1797700,,,state,jhu-csse,VA
50,vi,confirmed_cumulative_num,2022-06-04,2022-06-05,1,20083,,,state,jhu-csse,VI
51,vt,confirmed_cumulative_num,2022-06-04,2022-06-05,1,132676,,,state,jhu-csse,VT
52,wa,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1591654,,,state,jhu-csse,WA
53,wi,confirmed_cumulative_num,2022-06-04,2022-06-05,1,1683264,,,state,jhu-csse,WI
54,wv,confirmed_cumulative_num,2022-06-04,2022-06-05,1,518061,,,state,jhu-csse,WV
55,wy,confirmed_cumulative_num,2022-06-04,2022-06-05,1,158472,,,state,jhu-csse,WY
